variant,key_bits,value_bits,keys,capacity,load_factor,phase,ns_per_op,ops_per_sec,memory_bytes,bytes_per_key,grew
chained-tpht,32,64,1024,1138,0.9000,insert,36.13,27675676,17748,17.33,0
chained-tpht,32,64,1024,1138,0.9000,lookup_hit,40.22,24866017,17748,17.33,0
chained-tpht,32,64,1024,1138,0.9000,lookup_miss,20.63,48474768,17748,17.33,0
chained-tpht,32,64,1024,1138,0.9000,remove,37.11,26947368,17748,17.33,0
chained-tpht,32,64,2048,2276,0.9000,insert,34.67,28845070,33530,16.37,0
chained-tpht,32,64,2048,2276,0.9000,lookup_hit,36.12,27684291,33530,16.37,0
chained-tpht,32,64,2048,2276,0.9000,lookup_miss,20.06,49861596,33530,16.37,0
chained-tpht,32,64,2048,2276,0.9000,remove,33.69,29681159,33530,16.37,0
chained-tpht,32,64,4096,4551,0.9000,insert,35.89,27863946,66620,16.26,0
chained-tpht,32,64,4096,4551,0.9000,lookup_hit,34.63,28878792,66620,16.26,0
chained-tpht,32,64,4096,4551,0.9000,lookup_miss,22.84,43777535,66620,16.26,0
chained-tpht,32,64,4096,4551,0.9000,remove,32.96,30340741,66620,16.26,0
chained-tpht,32,64,8192,9102,0.9000,insert,33.94,29467626,132800,16.21,0
chained-tpht,32,64,8192,9102,0.9000,lookup_hit,33.38,29953700,132800,16.21,0
chained-tpht,32,64,8192,9102,0.9000,lookup_miss,21.07,47460879,132800,16.21,0
chained-tpht,32,64,8192,9102,0.9000,remove,32.23,31030303,132800,16.21,0
chained-tpht,32,64,16384,18204,0.9000,insert,34.36,29101243,263634,16.09,0
chained-tpht,32,64,16384,18204,0.9000,lookup_hit,34.51,28974368,263634,16.09,0
chained-tpht,32,64,16384,18204,0.9000,lookup_miss,22.44,44570680,263634,16.09,0
chained-tpht,32,64,16384,18204,0.9000,remove,31.49,31751938,263634,16.09,0
chained-tpht,32,64,32768,36409,0.9000,insert,34.94,28618341,488474,14.91,0
chained-tpht,32,64,32768,36409,0.9000,lookup_hit,35.80,27930176,488474,14.91,0
chained-tpht,32,64,32768,36409,0.9000,lookup_miss,23.17,43167972,488474,14.91,0
chained-tpht,32,64,32768,36409,0.9000,remove,32.47,30796992,488474,14.91,0
chained-tpht,32,64,65536,72818,0.9000,insert,35.26,28358286,976508,14.90,0
