variant,key_bits,value_bits,target_load,capacity,inserted,payload_bytes,memory_bytes,actual_load,space_efficiency,memory_mb
chained-tpht,32,8,0.05,4000000,200000,1000000,21103236,0.050000,0.047386,20.13
chained-tpht,32,8,0.10,2000000,200000,1000000,10551814,0.100000,0.094770,10.06
chained-tpht,32,8,0.15,1333334,200000,1000000,7734064,0.150000,0.129298,7.38
chained-tpht,32,8,0.20,1000000,200000,1000000,5276358,0.200000,0.189525,5.03
chained-tpht,32,8,0.25,800000,200000,1000000,4430778,0.250000,0.225694,4.23
chained-tpht,32,8,0.30,666667,200000,1000000,3867228,0.300000,0.258583,3.69
chained-tpht,32,8,0.35,571429,200000,1000000,3464838,0.350000,0.288614,3.30
chained-tpht,32,8,0.40,500000,200000,1000000,2638630,0.400000,0.378985,2.52
chained-tpht,32,8,0.45,444445,200000,1000000,2403520,0.449999,0.416056,2.29
chained-tpht,32,8,0.50,400000,200000,1000000,2215840,0.500000,0.451296,2.11
chained-tpht,32,8,0.55,363637,200000,1000000,2061820,0.549999,0.485008,1.97
chained-tpht,32,8,0.60,333334,200000,1000000,1933810,0.599999,0.517114,1.84
chained-tpht,32,8,0.65,307693,200000,1000000,1825690,0.649999,0.547738,1.74
chained-tpht,32,8,0.70,285715,200000,1000000,1732870,0.699998,0.577077,1.65
chained-tpht,32,8,0.75,266667,200000,1000000,1652290,0.749999,0.605221,1.58
chained-tpht,32,8,0.80,250000,200000,1000000,1319766,0.800000,0.757710,1.26
chained-tpht,32,8,0.85,235295,200000,1000000,1257546,0.849997,0.795200,1.20
chained-tpht,32,8,0.90,222223,200000,1000000,1201956,0.899997,0.831977,1.15
chained-tpht,32,8,0.95,210527,200000,1000000,1152486,0.949997,0.867689,1.10
chained-tpht,32,8,0.99,202021,200000,1000000,1116786,0.989996,0.895427,1.07
chained-tpht,32,16,0.05,4000000,200000,1200000,25313794,0.050000,0.047405,24.14
chained-tpht,32,16,0.10,2000000,200000,1200000,12657093,0.100000,0.094808,12.07
chained-tpht,32,16,0.15,1333334,200000,1200000,9137668,0.150000,0.131325,8.71
chained-tpht,32,16,0.20,1000000,200000,1200000,6329061,0.200000,0.189602,6.04
chained-tpht,32,16,0.25,800000,200000,1200000,5272915,0.250000,0.227578,5.03
